w,DC,pitch,k
610.8223,0.35507852,411.01736,6282187.0
461.20865,0.49858356,436.2102,6268741.0
485.49673,0.43553534,453.39536,6261219.5
519.7904,0.444761,419.33832,6325737.5
491.53458,0.44015625,451.88516,6320214.0
449.93747,0.7139218,468.97745,6275362.5
477.70407,0.31329018,510.78537,6290289.0
586.35187,0.6584388,456.1534,6265246.5
402.91885,0.5732628,481.9614,6276634.0
394.87787,0.5649576,503.54117,6308460.5
481.6763,0.465664,438.62628,6280908.0
441.72818,0.32516867,517.6867,6284380.5
457.77115,0.48452967,451.80447,6268650.5
454.56604,0.7327546,464.4337,6261946.5
488.69577,0.415049,462.60812,6256879.0
495.78897,0.39877605,466.76733,6267570.5
417.50827,0.53092325,473.93707,6275602.0
460.4672,0.48654908,446.07828,6259973.5
430.07385,0.30354905,530.454,6316143.0
570.6262,0.6736205,454.98956,6261999.5
409.31543,0.57480067,482.49078,6289484.0
574.486,0.68184805,453.44165,6267735.0
449.0184,0.42535707,481.86957,6266784.5
460.93396,0.42763492,474.62048,6271928.5
570.2064,0.6991571,450.64313,6262456.5
516.28534,0.44584823,416.7165,6302648.0
480.74615,0.45032933,450.47186,6283825.5
516.1268,0.36028603,478.63992,6298626.5
408.6102,0.5693403,504.7934,6317973.5
494.70282,0.46121538,425.67505,6288753.5
443.63193,0.47419602,469.19446,6259821.0
478.0972,0.44169924,457.1889,6272110.5
612.7729,0.39802516,324.25522,6257217.5
471.51443,0.6949643,467.6794,6283169.5
464.9103,0.43987218,466.34067,6260830.5
478.49463,0.46039364,444.5334,6272720.5
487.89526,0.42394888,460.21533,6282968.5
514.3386,0.34104243,486.58212,6271722.5
389.61942,0.37880233,525.8419,6274213.0
456.26025,0.5097935,437.10828,6281611.0
510.9758,0.44710642,412.84354,6270547.0
505.83618,0.39269271,463.83374,6257431.5
457.98605,0.44713435,469.09265,6265245.5
548.7971,0.43004727,401.6722,6325356.0
509.36838,0.45719334,411.58124,6303849.0
496.2561,0.43769586,449.06506,6320921.0
582.9472,0.7251367,442.5134,6259463.5
429.43237,0.5472523,448.14777,6260155.0
521.98016,0.3681226,472.52676,6288932.0
503.39587,0.40284994,462.16547,6298849.0
457.0001,0.7263107,465.12003,6271860.0
453.99612,0.48414257,459.10193,6292661.5
492.18753,0.3060376,508.64178,6291214.5
428.90747,0.55024654,455.65207,6296541.0
446.43356,0.4855395,462.13538,6259688.5
464.52707,0.4591554,459.62006,6278930.0
455.1397,0.714301,467.49042,6260436.0
475.43552,0.46580386,446.99252,6288574.0
476.5151,0.4037061,474.3497,6256720.5
449.42612,0.48398045,459.12967,6258946.5
542.7013,0.5530689,501.99005,6266573.0
493.40396,0.42067492,458.6298,6292929.5
541.8496,0.6524485,466.35736,6256601.5
488.90643,0.41976532,462.67694,6298031.0
475.2661,0.41963574,468.67828,6259743.0
475.5294,0.71254116,463.22614,6276538.5
462.30356,0.46384376,458.7672,6270365.5
504.6019,0.459304,423.4508,6328200.5
451.7929,0.3263475,513.59644,6283911.5
386.25848,0.5515301,508.65338,6324005.5
423.43756,0.533802,466.71793,6269969.0
598.5796,0.55320054,490.82516,6263454.0
602.1844,0.59527296,471.53494,6282367.0
534.9972,0.38670698,457.22256,6330674.5
486.79208,0.43281418,453.31323,6255266.0
461.40195,0.6933049,470.37097,6266119.0
480.32324,0.6989659,465.6494,6271763.5
434.9725,0.31977084,521.96533,6277874.0
407.63177,0.5742254,495.2149,6305085.5
502.01535,0.43162096,439.69614,6261328.5
457.09317,0.5014811,445.49203,6294424.0
442.00677,0.68316966,477.0149,6263510.5
478.751,0.48387095,430.19797,6306186.5
569.60706,0.67495376,455.59125,6266020.5
424.47964,0.5259035,467.0436,6259586.5
500.6474,0.4299062,445.534,6268803.5
469.03024,0.6966367,467.79062,6281336.0
486.11255,0.47379747,423.59247,6292901.5
481.84296,0.4771181,438.25812,6320101.0
526.65826,0.30841488,500.2992,6325046.0
462.83652,0.4755762,450.28058,6264170.0
402.0388,0.57154083,492.90384,6295636.0
560.95306,0.62040746,470.9648,6264991.0
439.76385,0.5055746,459.13257,6257703.0
507.80447,0.31627244,500.14072,6283018.5
413.50092,0.58173114,478.97467,6286306.5
478.09293,0.31080416,511.4547,6281676.0
457.26837,0.49833605,446.35934,6278653.5
479.98364,0.71324354,461.98267,6271935.5
498.99524,0.45756534,433.22385,6334897.0
446.08832,0.6914053,474.59207,6274887.0
439.23898,0.30262238,526.9281,6301635.0
463.42587,0.4741177,451.69528,6270932.5
545.7907,0.6519143,465.06387,6259273.0
399.8782,0.57530504,482.83755,6273521.0
499.05347,0.4503414,424.3876,6263105.0
610.399,0.40058172,334.1641,6278527.5
517.13324,0.666292,466.81113,6289206.5
595.6433,0.37584838,411.4219,6306669.0
477.93253,0.47240418,434.0594,6271314.0
464.69864,0.48955756,446.43872,6311806.0
439.15726,0.6794731,478.4164,6275873.5
474.7981,0.48971143,425.49936,6291976.5
514.75946,0.43286246,426.6975,6265585.5
450.74097,0.32651198,513.4738,6281717.0
460.7676,0.46197027,462.01294,6274439.0
493.1287,0.4226471,454.7671,6261587.0
438.6447,0.5193789,452.86298,6261227.0
410.07556,0.5707171,501.38184,6307921.0
550.10126,0.6748617,458.80762,6264209.0
474.59146,0.45207998,454.23828,6274852.0
479.78485,0.43761164,457.14954,6264670.0
478.4109,0.42684647,466.86865,6312247.0
545.58203,0.65889126,463.7654,6258640.0
444.9875,0.5107794,451.1007,6259223.5
524.34393,0.5928549,490.2253,6265485.0
446.59958,0.5030879,452.381,6262813.0
472.80804,0.42554742,467.0923,6257222.5
463.39334,0.4908607,441.9069,6271537.0
597.8688,0.58188355,478.74823,6277051.0
508.208,0.37755814,471.03064,6263432.0
539.2604,0.6742106,461.20657,6262068.5
561.2234,0.42115948,380.9674,6290316.5
494.0149,0.4038548,466.28665,6287089.0
489.9846,0.68216,467.45383,6282665.0
549.211,0.6118028,476.99432,6261337.0
461.5916,0.4771279,450.9848,6257395.5
546.2885,0.41305345,421.12753,6290485.0
415.90344,0.56972384,493.7781,6293891.5
511.80084,0.32131475,496.13483,6282570.0
583.96564,0.6923032,448.92795,6277837.0
532.57684,0.357322,474.7641,6309914.0
447.43555,0.3047151,523.1749,6262784.0
479.34213,0.4531222,448.13562,6263104.5
443.22748,0.4761248,468.89136,6267551.0
547.22363,0.35742244,468.17935,6277885.5
452.50693,0.4819823,460.9418,6287944.5
551.60516,0.41844395,394.05862,6269804.0
513.3914,0.4395762,427.36093,6297844.5
456.70135,0.467549,460.62854,6258779.0
