f_max,n_eff
191343291264415.7,1.566529058509091
191302676332303.34,1.563507959830937
191302676332303.34,1.5616320228259877
191434674861668.47,1.576635778054589
191302676332303.34,1.5763460687198085
191302676332303.34,1.5651594543727942
191353444997443.78,1.5684660502653804
191353444997443.78,1.5622218421179457
191363598730471.88,1.5649781928920359
191363598730471.88,1.5729136708574494
191353444997443.78,1.5661269979133075
191353444997443.78,1.566992825720432
191363598730471.88,1.562987653665443
191343291264415.7,1.5614818495919736
191302676332303.34,1.560549450846048
191302676332303.34,1.5632160729660003
191363598730471.88,1.5647208918087419
191434674861668.47,1.5602446986738991
191353444997443.78,1.574912761203187
191454982327724.62,1.5605840775983952
191363598730471.88,1.5681821216090426
191353444997443.78,1.562842299950849
191373752463499.94,1.5624394879156738
191373752463499.94,1.5637220183233296
191353444997443.78,1.5615261434467236
191434674861668.47,1.5708809572549518
191434674861668.47,1.5661895503001664
191353444997443.78,1.570544997048784
191434674861668.47,1.5747006549803582
191302676332303.34,1.568499403882023
191373752463499.94,1.5607033279539086
191302676332303.34,1.5643483349439875
191343291264415.7,1.5603026045623007
191465136060752.72,1.5657769295688244
191444828594696.56,1.5603755115044173
191434674861668.47,1.5634217730695572
191302676332303.34,1.5670564956690494
191444828594696.56,1.5630901414371594
191353444997443.78,1.5644576336755898
191302676332303.34,1.5667179337048227
191302676332303.34,1.5639584080379587
191302676332303.34,1.5606872428855783
191373752463499.94,1.5620557333863856
191363598730471.88,1.5771262644719155
191302676332303.34,1.5722643424532061
191444828594696.56,1.5753517797264012
191282368866247.16,1.561359824817877
191333137531387.6,1.561117911001167
191302676332303.34,1.5685438457229735
191373752463499.94,1.5704338158352837
191302676332303.34,1.564285915373406
191363598730471.88,1.5689744526672726
191353444997443.78,1.5686969079117359
191404213662584.22,1.5696085707285918
191363598730471.88,1.560753097012351
191373752463499.94,1.5654676661079538
191465136060752.72,1.5601117210292057
191302676332303.34,1.5684546270523214
191302676332303.34,1.5605099221734438
191373752463499.94,1.5604853312710407
191353444997443.78,1.5625526115599917
191373752463499.94,1.5689579570841934
191353444997443.78,1.5600662032634367
191302676332303.34,1.5708132828472945
191373752463499.94,1.560683905822409
191465136060752.72,1.5641244934019747
191373752463499.94,1.5633323478574352
191434674861668.47,1.5772497238021623
191353444997443.78,1.5668758340311764
191363598730471.88,1.576789484702589
191363598730471.88,1.5633163962642718
191363598730471.88,1.5616919948047958
191454982327724.62,1.565660029114024
191434674861668.47,1.5778663476118844
191302676332303.34,1.5601471293562366
191465136060752.72,1.5615279673800253
191465136060752.72,1.5629345073000493
191353444997443.78,1.5653704590983408
191363598730471.88,1.5720721121299213
191465136060752.72,1.5603340763921476
191454982327724.62,1.568664719277911
191353444997443.78,1.5617889282143835
191434674861668.47,1.571762820803311
191353444997443.78,1.5624148560785591
191363598730471.88,1.5607276459724417
191302676332303.34,1.5635235926393116
191465136060752.72,1.5653200579124036
191434674861668.47,1.5684517317142985
191302676332303.34,1.5763178180018174
191333137531387.6,1.5773000924792744
191434674861668.47,1.561290593528862
191363598730471.88,1.5697161049004198
191353444997443.78,1.562158099508628
191363598730471.88,1.5602580296351674
191333137531387.6,1.5668195166385932
191363598730471.88,1.5673899021781807
191353444997443.78,1.566318449007843
191302676332303.34,1.5659802884753766
191465136060752.72,1.5629773494773547
191465136060752.72,1.5786675159382668
191353444997443.78,1.5646256417789577
191353444997443.78,1.5712951727661482
191363598730471.88,1.563556618360258
191353444997443.78,1.5607323191124711
191363598730471.88,1.5642020478021692
191302676332303.34,1.5621022353693115
191343291264415.7,1.5656165195644212
191353444997443.78,1.568196120967079
191343291264415.7,1.572633825711363
191434674861668.47,1.5630711700999325
191434674861668.47,1.5731634473070444
191353444997443.78,1.5648715699196354
191302676332303.34,1.569303265221227
191434674861668.47,1.561643428216944
191353444997443.78,1.5663287192706403
191302676332303.34,1.5649290937751033
191444828594696.56,1.560564081712249
191454982327724.62,1.5603916122982577
191454982327724.62,1.572028454853881
191353444997443.78,1.5619630761487715
191353444997443.78,1.5646169343822385
191302676332303.34,1.5624926089270081
191302676332303.34,1.5743589154495659
191353444997443.78,1.560574469638609
191363598730471.88,1.5606372278043428
191353444997443.78,1.5622812310289036
191454982327724.62,1.5607868077145401
191373752463499.94,1.560055477084802
191302676332303.34,1.5642052947473601
191454982327724.62,1.564335198404555
191444828594696.56,1.561023902911346
191302676332303.34,1.5618437357165462
191363598730471.88,1.568389748513566
191373752463499.94,1.5675018553289393
191353444997443.78,1.5665650469482684
191353444997443.78,1.5612469485852463
191302676332303.34,1.5606783098522214
191454982327724.62,1.5676830904601657
191363598730471.88,1.5692810930472327
191414367395612.28,1.5660427898112628
191353444997443.78,1.565361193535165
191434674861668.47,1.57269188519704
191353444997443.78,1.561607747382645
191302676332303.34,1.5621021237063946
191373752463499.94,1.5626305838302
191333137531387.6,1.5655395051123622
191363598730471.88,1.5677983467177783
191363598730471.88,1.5632752057654713
191434674861668.47,1.5696837518885913
191373752463499.94,1.5604435848504608
191302676332303.34,1.5648698007661968
191353444997443.78,1.564260377649908
191465136060752.72,1.561058265384047
191363598730471.88,1.561286675831503
191353444997443.78,1.5637838151294574
191434674861668.47,1.5633007023432546
191434674861668.47,1.5637268489826552
191363598730471.88,1.5639251003021033
191363598730471.88,1.5618396778126906
191353444997443.78,1.5655706175895958
191454982327724.62,1.5642964821963536
191373752463499.94,1.5626741161939064
191282368866247.16,1.5669794110015385
191465136060752.72,1.5615650080124874
191373752463499.94,1.5678965487598766
191373752463499.94,1.5645322783954945
191454982327724.62,1.5666249218187138
191454982327724.62,1.5708394098083351
191373752463499.94,1.5625382728948534
191353444997443.78,1.5742795771750784
191353444997443.78,1.5613795689352803
191302676332303.34,1.5621659948948965
191353444997443.78,1.5677124139159868
191414367395612.28,1.5614705179373733
191454982327724.62,1.5708645139779185
191353444997443.78,1.5611319662952334
191414367395612.28,1.5623167637605093
191353444997443.78,1.5601896696835862
191465136060752.72,1.56426797006868
191333137531387.6,1.570540872433825
191434674861668.47,1.5603473577229299
191353444997443.78,1.5620845331696782
191363598730471.88,1.5600893606820843
191454982327724.62,1.5638172714925327
191444828594696.56,1.565179588603937
191353444997443.78,1.567437907652743
191363598730471.88,1.5673888975318686
191353444997443.78,1.5627500908522562
191373752463499.94,1.5654116321423626
191434674861668.47,1.5734097174387955
191444828594696.56,1.563037810414986
191434674861668.47,1.5719053160268026
191465136060752.72,1.5639751036222562
191302676332303.34,1.5703899687290943
191363598730471.88,1.561196927427612
191353444997443.78,1.5654398950055135
191302676332303.34,1.5634526866870413
191353444997443.78,1.564559778137106
191363598730471.88,1.5617036040510701
191434674861668.47,1.5758681784912378
191434674861668.47,1.5647796621648355
191363598730471.88,1.5694659479686794
191353444997443.78,1.5639713590587985
191363598730471.88,1.5706106866277592
191302676332303.34,1.5741386045144012
191454982327724.62,1.564405824801649
191373752463499.94,1.5651062358677459
191333137531387.6,1.5757829466764002
191282368866247.16,1.563284092807994
191282368866247.16,1.569883401763247
191353444997443.78,1.5694375947993418
191302676332303.34,1.5627401656139113
191353444997443.78,1.5609327008703087
191302676332303.34,1.566053986000571
191353444997443.78,1.56192087876467
191373752463499.94,1.5683885760912037
191394059929556.12,1.5618315113014003
191353444997443.78,1.567861779259712
191302676332303.34,1.565866727288827
191302676332303.34,1.5629192729327173
191373752463499.94,1.5606174910623953
191302676332303.34,1.5620486371691702
191363598730471.88,1.562161834396806
191302676332303.34,1.5638551198397697
191302676332303.34,1.5628585283058902
191343291264415.7,1.564728987803946
191302676332303.34,1.5713518330957987
191353444997443.78,1.5693089932477935
191454982327724.62,1.5604331178586353
191465136060752.72,1.5647451471320528
191302676332303.34,1.56242382457016
191454982327724.62,1.5643836215583289
