w,DC,pitch,k
439.07278,0.59233093,398.81198,7541817.5
472.59055,0.6159938,338.9356,7540744.0
434.67654,0.58232474,403.14166,7543867.5
412.01886,0.58099264,422.64386,7546373.5
466.95602,0.573907,380.8089,7546995.0
434.63803,0.60711765,400.23236,7540721.5
420.5006,0.5920515,413.23767,7543886.5
410.17932,0.5910623,421.80984,7545656.5
493.14914,0.811685,381.8194,7544209.5
638.9268,0.32560474,399.59607,7540353.0
457.05142,0.5887685,386.09064,7545753.0
439.0748,0.58942384,399.42783,7538415.0
431.2533,0.6036394,400.98465,7543171.5
470.79498,0.58082896,376.06406,7549704.5
414.31998,0.5889861,418.7693,7538706.0
422.17123,0.5790419,414.51663,7546396.0
458.8708,0.5676724,389.5762,7544406.0
507.53973,0.8352034,374.76288,7539478.0
431.3382,0.6024934,402.19736,7549098.0
572.31396,0.5294078,276.9324,7546729.0
425.62177,0.5758048,412.60004,7544090.0
498.15332,0.8285165,377.18317,7541197.0
443.91785,0.6672641,337.06534,7544336.0
583.14795,0.5089151,303.03796,7542565.5
556.73956,0.4858146,354.185,7543228.0
438.3347,0.67625046,325.55286,7542153.0
455.8152,0.5912675,385.43835,7545595.0
458.5019,0.5921249,383.36176,7544660.5
410.53488,0.7465543,230.73805,7549891.5
469.01517,0.5773381,377.6383,7545032.5
421.7731,0.5724718,416.53296,7546651.0
423.99817,0.5829796,412.81772,7545356.5
444.9467,0.5850881,395.57864,7546081.5
591.3292,0.50662154,295.55566,7549731.5
543.9861,0.57215947,238.20865,7550789.0
425.56305,0.57559884,412.99628,7544085.5
438.50177,0.5775716,402.73483,7541720.5
427.09335,0.6062519,404.5033,7546807.5
438.21283,0.5871382,400.97003,7544854.0
425.03223,0.6987371,326.98062,7547231.5
422.7055,0.56840533,416.68967,7543694.0
470.96106,0.5858875,372.57523,7547549.0
457.63266,0.64121693,338.3715,7544987.0
477.57614,0.6032829,348.64807,7545209.0
439.24133,0.5871594,398.6043,7541846.0
416.74887,0.6175485,412.04755,7541956.0
460.16702,0.6362982,337.51443,7543193.0
438.76343,0.5792125,402.18045,7544130.0
549.8865,0.51615196,335.2066,7544981.5
480.3022,0.57417244,368.1116,7545933.0
413.3852,0.5155511,434.19525,7548519.5
423.279,0.5929537,411.24597,7541084.0
438.54333,0.583633,400.07602,7549185.0
470.635,0.56228673,381.48398,7546889.0
461.16473,0.63335985,345.19534,7546828.5
454.43036,0.58999985,387.9188,7547197.0
432.46957,0.57313484,407.43085,7543164.5
566.1738,0.47727755,354.5465,7545838.0
474.3187,0.612474,342.8878,7547244.0
552.35803,0.51392096,333.8457,7545130.5
405.61758,0.6276237,418.51776,7543622.5
468.9884,0.5730295,379.58963,7549367.0
468.19553,0.5900983,373.91284,7545780.5
469.45993,0.5789439,377.5314,7546553.0
454.66187,0.6483489,335.48825,7546080.0
472.48105,0.6102649,349.30994,7544334.5
418.11075,0.58553827,416.20465,7548501.0
387.08514,0.7679429,337.68454,7551318.0
460.00952,0.6391684,333.26892,7547904.0
481.8604,0.59728837,346.22128,7542488.5
418.66602,0.59683096,413.51202,7547124.5
427.54877,0.5980192,406.48703,7549705.5
450.1773,0.5843269,392.34018,7544258.5
440.26523,0.6693744,335.5579,7544073.0
485.09512,0.5777318,360.0602,7548600.0
476.1097,0.60809666,345.23734,7547988.0
422.77493,0.7010025,330.93295,7548104.5
553.48065,0.50930905,337.57425,7545773.5
464.5256,0.577375,381.09366,7543317.5
